ID_texts;code;locale;name;descr
3149185c-48ab-4532-9ff8-8ed7f1ace603;ARR;de;Arrivo;Arrivoas
ce19118b-01bb-4d1f-b76d-114e05b1f0ed;CNL;de;Canceled;Canceled
d9f1e3c8-1ef6-4bd1-8eba-52de0b013c06;RTR;de;Returned;Returned
2a54fdfb-676b-4395-b76b-d5f7240813c2;ON;de;Onblock;Onblock
e2263cc8-5b5f-4555-8981-842bfc31143e;DIV;de;Diverted;Diverted
18c972dd-6704-41ef-bbbd-430e871e0ba7;DEP;de;Departed;Departed
3bcf5adc-dd91-48ee-8f94-cc6130a86303;OUT;de;Offblock;Offblock
df064611-e866-4105-804b-db172b05970c;EQT;de;Colombia;Colombia
b611f478-0aee-44f7-ae40-40bfc01d763d;ETD;de;Colombia;Colombia
c25133ba-a1bf-4b91-afdb-cedee9b2aafc;RRT;de;Returned;Returned
7bd1921a-6071-4095-bcb1-bd3f76123652;TIM;de;Time;Time
ebc38132-a4be-4474-8a69-ca9893c85134;SKD;de;Scheduled;Scheduled
142cdabd-e98c-46b8-8932-4756ce7f2cde;ARR;sp;spArrivo;spArrivoas
b7f45ba7-22be-4e76-8f3e-43a6d7d6e01f;CNL;sp;spCanceled;spCanceled
a72479cd-9dd6-4b9c-a266-ffa9b13e9766;RTR;sp;Returned;Returned
11c869dd-2ef5-4263-9efc-33ffebb98282;ON;sp;Onblock;Onblock
32913cdb-b42f-49db-aa6d-3d422d6d5586;DIV;sp;Diverted;Diverted
bb630bde-ab9c-4e65-86bf-5f7f15e924a3;DEP;sp;Departed;Departed
84cb1d12-bbc4-4723-8b3e-bbe9219a0020;OUT;sp;Offblock;Offblock
723f4e3d-fded-4e79-8fe2-08b6301ba00c;EQT;sp;Colombia;Colombia
10163708-c8f9-405c-97f8-4984b2ab30dc;ETD;sp;Colombia;Colombia
59c32514-ea8b-4119-a35c-1be51577caa4;RRT;sp;Returned;Returned
180efe5d-9454-45f0-ae42-f700b4b070f5;TIM;sp;Time;Time
4601b757-418a-4ed6-a996-4edae47b760c;SKD;sp;Scheduled;Scheduled
